P_x,P_y,O_z,O_w
0.227883834089,-1.40506825195,0.228928998067,0.973443123066
0.473143309507,-1.29957884678,0.204403859976,0.978886644115
0.702563865516,-1.19835448484,0.208138861227,0.9780992866
0.930673346724,-1.09563916624,0.211740405897,0.977325943844
1.17381704418,-0.983983380853,0.21543485468,0.976518214571
1.43815328044,-0.915668625426,0.19481963703,0.980839084166
1.6690111772,-0.81832981868,0.20576062424,0.97860235311
1.89723464684,-0.698106144139,0.298696918681,0.954348023926
1.92171691259,-0.676139689496,0.487853470205,0.872925536119
1.91720338375,-0.687770898141,0.637186485693,0.770709661579
1.91706606687,-0.699876594113,0.764917232389,0.644128580016
2.05675231775,-0.681546687935,0.866428289833,0.499301530717
2.05160480694,-0.677712083964,0.940065876137,0.340992886324
1.86641917883,-0.583366329052,0.985163860628,0.171616338713
1.63666783636,-0.465134808402,0.999801192072,0.0199393162308
1.59587050449,-0.464600330539,0.999979045457,-0.00647368877536
1.32956152643,-0.496218778535,0.996307313142,-0.0858588247109
1.0521391478,-0.548298541374,0.993892253183,-0.110354832529
0.79621160799,-0.612445900386,0.990274031225,-0.139130669089
0.543665293679,-0.6902435021,0.987493503431,-0.15765969898
0.28985056068,-0.77705414564,0.985314584833,-0.170748847479
0.0697301589418,-0.910668051889,0.986903257124,-0.161313239002
-0.176697947602,-1.00899884867,0.985453619726,-0.169944589113
-0.419709274005,-1.1012346307,0.981115079885,-0.193424920893
-0.653943794938,-1.20443506908,0.976427309837,-0.215846493149
-0.889609764147,-1.31780178808,0.973778115338,-0.227499850747
-1.13030417329,-1.3859939715,0.978948297414,-0.204108380498
-1.36738665811,-1.48985982965,0.978530832958,-0.206100482654
-1.60998840566,-1.59763126105,0.977945965433,-0.208858058721
-1.84976494248,-1.70568457641,0.977405288966,-0.211373842048
-2.09604857215,-1.77688972534,0.976236564005,-0.21670757047
-2.3361584533,-1.89017960516,0.97534290576,-0.220694848565
-2.57531175126,-2.00560759992,0.974312870746,-0.225198645419
-2.88936778423,-2.14270730974,0.981610854591,-0.190892980882
-3.07804941154,-2.19776942767,0.999994780173,0.00323104102022
-3.07379425156,-2.1991753603,0.974046863171,0.226346434358
