time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2022-04-05 12:18:14.377477,0:10:55.860000,OFF,MAXN,36,36,34,34,0,1739832,1739832,1739832,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.75,1862,2102
2022-04-05 12:18:14.888068,0:10:56.370000,OFF,MAXN,37,26,25,20,0,1739928,1739928,1739928,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.75,2121,2103
2022-04-05 12:18:15.392200,0:10:56.880000,OFF,MAXN,35,23,22,23,0,1741588,1741588,1741588,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.5,2487,2110
2022-04-05 12:18:15.904235,0:10:57.390000,OFF,MAXN,29,28,22,26,12,1741124,1741124,1741124,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,1862,2105
2022-04-05 12:18:16.412970,0:10:57.900000,OFF,MAXN,34,34,34,29,0,1742268,1742268,1742268,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,30.0,31.5,1827,2100
2022-04-05 12:18:16.922997,0:10:58.410000,OFF,MAXN,33,22,27,27,0,1742260,1742260,1742260,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.5,2374,2105
2022-04-05 12:18:17.437578,0:10:58.920000,OFF,MAXN,32,27,28,23,0,1754232,1754232,1754232,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,1827,2100
2022-04-05 12:18:17.944680,0:10:59.430000,OFF,MAXN,31,25,30,26,0,1741340,1741340,1741340,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.5,1566,2091
2022-04-05 12:18:18.459426,0:10:59.950000,OFF,MAXN,30,33,27,26,0,1741456,1741456,1741456,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,29.5,31.5,1862,2088
2022-04-05 12:18:18.969002,0:11:00.450000,OFF,MAXN,27,37,27,30,0,1742264,1742264,1742264,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,29.5,31.5,2525,2095
2022-04-05 12:18:19.476708,0:11:00.960000,OFF,MAXN,31,30,26,33,5,1739720,1739720,1739720,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,2011,2093
2022-04-05 12:18:19.985950,0:11:01.470000,OFF,MAXN,31,33,24,28,0,1739380,1739380,1739380,0,25,OFF,OFF,OFF,0.0,36.5,33.0,29.5,29.5,31.75,1789,2089
2022-04-05 12:18:20.494834,0:11:01.980000,OFF,MAXN,36,36,32,24,0,1740812,1740812,1740812,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.75,2159,2090
2022-04-05 12:18:21.000016,0:11:02.490000,OFF,MAXN,25,29,27,27,0,1741844,1741844,1741844,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,30.0,31.5,2487,2096
2022-04-05 12:18:21.514431,0:11:03,OFF,MAXN,34,31,25,25,12,1740628,1740628,1740628,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,29.5,31.5,2049,2095
2022-04-05 12:18:22.023679,0:11:03.510000,OFF,MAXN,31,23,22,22,0,1741388,1741388,1741388,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,1827,2091
2022-04-05 12:18:22.529916,0:11:04.020000,OFF,MAXN,36,32,29,29,0,1742420,1742420,1742420,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.5,30.0,31.5,2563,2098
2022-04-05 12:18:23.049871,0:11:04.540000,OFF,MAXN,33,23,26,26,0,1753248,1753248,1753248,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,1640,2091
2022-04-05 12:18:23.554994,0:11:05.040000,OFF,MAXN,36,34,32,30,0,1742396,1742396,1742396,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.25,2087,2091
2022-04-05 12:18:24.067808,0:11:05.550000,OFF,MAXN,32,20,29,33,0,1742284,1742284,1742284,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.25,1827,2088
2022-04-05 12:18:24.580237,0:11:06.070000,OFF,MAXN,37,36,27,28,0,1743304,1743304,1743304,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.5,2957,2099
2022-04-05 12:18:25.084185,0:11:06.570000,OFF,MAXN,30,32,25,30,33,1742344,1742344,1742344,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,1938,2097
2022-04-05 12:18:25.590695,0:11:07.080000,OFF,MAXN,34,25,32,40,0,1742312,1742312,1742312,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,2850,2107
2022-04-05 12:18:26.099188,0:11:07.590000,OFF,MAXN,33,22,26,25,0,1740928,1740928,1740928,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,2121,2107
2022-04-05 12:18:26.618907,0:11:08.100000,OFF,MAXN,32,30,31,22,0,1742188,1742188,1742188,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.5,2742,2116
2022-04-05 12:18:27.133015,0:11:08.620000,OFF,MAXN,36,27,31,26,0,1741904,1741904,1741904,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,29.5,31.5,1789,2111
