[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_microros_run_1,5.86%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.30%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.93%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.37%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.94%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.32%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.43%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.76%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.30%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.93%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.37%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.94%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.32%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.43%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.76%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.04%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.25%,0.97%,38.31MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.83%,0.56%,22.19MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.03%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.49%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.38%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.45%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.04%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.25%,0.97%,38.31MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.83%,0.56%,22.19MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.03%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.49%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.38%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.45%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,19.29%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.71%,0.97%,38.31MiB / 3.871GiB
